team_a,team_b,team_a_winrate,team_b_winrate,team_a_avg_scored,team_a_avg_conceded,team_b_avg_scored,team_b_avg_conceded,team_a_h2h_winrate,team_b_h2h_winrate,result
Honduras,Nicaragua,0.6,0.0,2.5,1.2,0.3,2.6,0.6666666666666666,0.16666666666666666,home win
Trinidad and Tobago,Curaçao,0.3,0.2,1.5,1.9,1.1,1.9,0.4,0.3333333333333333,home win
Anguilla,Bahamas,0.1,0.14285714285714285,0.7,6.1,0.5714285714285714,4.142857142857143,0.0,0.0,away win
Barbados,Grenada,0.5,0.4,2.0,1.4,2.5,2.1,0.3,0.3,draw
British Virgin Islands,Bermuda,0.4,0.5,2.1,1.7,1.7,1.1,0.0,0.0,away win
Cuba,Cayman Islands,0.6,0.3,2.0,0.7,1.4,1.8,0.8333333333333334,0.0,home win
Dominican Republic,Montserrat,0.4,0.2,0.9,2.3,0.7,4.4,0.0,0.0,home win
El Salvador,Belize,0.2,0.0,1.1,2.5,0.5555555555555556,3.0,1.0,0.0,home win
Saint Lucia,Suriname,0.7,0.2,2.7,1.2,1.6,1.7,0.0,0.0,home win
Saint Vincent and the Grenadines,United States Virgin Islands,0.3,0.2,2.4,3.6,0.6,2.6,0.0,0.0,home win
Aruba,Puerto Rico,0.2,0.0,1.4,2.6,0.5,3.9,0.0,0.0,home win
Haiti,Dominica,0.3,0.3,1.3,2.7,1.0,2.2,0.0,0.0,home win
Curaçao,Trinidad and Tobago,0.2,0.3,1.1,2.4,1.6,1.6,0.3125,0.4375,draw
Grenada,Barbados,0.4,0.4,2.6,1.9,1.6,1.4,0.2727272727272727,0.2727272727272727,away win
Puerto Rico,Aruba,0.0,0.3,0.6,4.0,1.8,2.6,0.0,1.0,draw
Saint Kitts and Nevis,Turks and Caicos Islands,0.5,0.0,1.9,1.7,1.0,2.5,0.0,0.0,home win
Bahamas,Anguilla,0.25,0.1,0.875,3.75,0.8,6.3,1.0,0.0,home win
Belize,Guatemala,0.0,0.2,0.5,3.2,1.1,1.3,0.0,0.0,away win
Bermuda,British Virgin Islands,0.6,0.3,2.1,1.0,1.9,2.1,1.0,0.0,home win
Cayman Islands,Cuba,0.2,0.6,1.2,2.2,1.9,0.6,0.0,0.8571428571428571,draw
Dominica,Haiti,0.3,0.4,1.0,1.8,1.6,2.4,0.0,1.0,away win
Montserrat,Dominican Republic,0.2,0.4,0.7,4.4,1.0,2.2,0.0,1.0,away win
Nicaragua,Panama,0.0,0.4,0.3,2.9,1.3,1.5,0.25,0.75,away win
Suriname,Saint Lucia,0.1,0.8,1.3,1.7,2.5,0.8,0.0,1.0,home win
United States Virgin Islands,Saint Vincent and the Grenadines,0.16666666666666666,0.4,0.5,3.6666666666666665,3.2,3.1,0.0,1.0,away win
Saint Kitts and Nevis,Turks and Caicos Islands,0.5,0.0,2.5,1.6,0.6666666666666666,4.333333333333333,1.0,0.0,home win
Colombia,Brazil,0.3,0.6,1.3,1.7,3.1,1.2,0.11764705882352941,0.7058823529411765,draw
Argentina,Chile,0.5,0.4,1.4,1.1,1.7,1.7,0.6811594202898551,0.07246376811594203,home win
Ecuador,Venezuela,0.2,0.2,1.2,1.6,0.9,2.3,0.5555555555555556,0.3333333333333333,home win
Peru,Paraguay,0.4,0.5,1.6,1.4,1.2,0.5,0.20588235294117646,0.5,home win
Uruguay,Bolivia,0.3,0.1,1.1,1.4,1.2,0.7,0.6666666666666666,0.2,home win
Aruba,Barbados,0.3,0.5,1.7,2.4,1.8,1.4,0.0,0.0,away win
Haiti,Bahamas,0.4,0.3333333333333333,1.7,2.2,1.0,3.4444444444444446,1.0,0.0,home win
Cuba,Suriname,0.5,0.2,1.6,0.5,1.3,1.6,0.75,0.0,home win
Guatemala,El Salvador,0.3,0.3,1.1,1.2,1.7,2.3,0.3877551020408163,0.32653061224489793,away win
Panama,Honduras,0.5,0.6,1.4,1.4,2.8,1.4,0.13636363636363635,0.7727272727272727,home win
Trinidad and Tobago,Dominican Republic,0.3,0.5,1.5,1.5,1.3,2.3,1.0,0.0,home win
Djibouti,DR Congo,0.1,0.4,1.0,3.1,0.8,0.7,0.0,0.0,draw
Mauritania,Tunisia,0.0,0.4,0.6,1.4,1.6,1.2,0.0,0.8,away win
Central African Republic,Zimbabwe,0.4,0.5,1.9,1.7,1.4,0.9,0.0,0.0,away win
Botswana,Zambia,0.2,0.3,0.8,1.3,1.1,1.4,0.16666666666666666,0.8333333333333334,away win
Guinea-Bissau,Togo,0.3,0.2,1.0,2.1,0.7,1.9,0.5,0.5,draw
Madagascar,Gabon,0.3,0.3,1.8,1.4,1.1,1.5,0.0,0.0,home win
Malawi,Kenya,0.1,0.2,1.1,1.5,0.7,0.8,0.4411764705882353,0.20588235294117646,home win
São Tomé and Príncipe,Sierra Leone,0.1,0.4,0.5,2.2,0.9,0.9,0.0,0.0,home win
Seychelles,Namibia,0.2,0.1,1.3,2.2,0.7,1.1,0.0,0.0,draw
Tanzania,Ghana,0.2,0.4,0.9,2.1,1.0,0.9,0.0,0.75,away win
Uganda,Guinea,0.4,0.2,0.8,0.9,0.7,1.4,0.0,1.0,draw
Benin,Senegal,0.2,0.5,0.6,1.2,2.0,0.8,0.5,0.5,draw
Cape Verde,Algeria,0.2,0.3,0.6,1.4,1.2,0.9,0.0,0.0,draw
Chad,Liberia,0.3,0.3,1.1,1.0,1.1,1.7,0.0,1.0,away win
Equatorial Guinea,Congo,0.1,0.3,0.8,2.6,0.7,1.1,0.0,1.0,away win
Eritrea,Nigeria,0.1,0.5,0.4,1.7,1.5,1.2,0.0,0.0,draw
